company,location,country,year,capex,currency,capex_2025_eur,capacity,facility_size_m2,source_url,confidence_score
Nepra Foods,"Denver, Colorado",US,2021,,,,,2880,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Nestlé USA,"Gaffney, South Carolina",US,2021,100.0,USD,110.02,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.715
Nestlé USA,"Jonesboro, Arkansas",US,2021,100.0,USD,110.02,,8361,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.79
New England Cold Storage,"Sturbridge, Massachusetts",US,2021,,,,,11148,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
New Mexico Fresh Foods,"Albuquerque, New Mexico",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.565
Newly Weds Foods,"Chicago, Illinois",US,2021,50.0,USD,55.01,,23226,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.79
Niagara Bottling,"Florence, South Carolina",US,2021,70.0,USD,77.02,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.715
Nongshim,"Corona, California",US,2021,200.0,USD,220.05,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2020,0.715
Nongshim Holdings USA,"Corona, California",US,2021,200.0,USD,220.05,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.715
Panhandle Products,"Dumas, Texas",US,2021,,,,,21832,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Papillion Foods,"Omaha, Nebraska",US,2021,,,,,2694,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Peace River Citrus Products,"Bartow, Florida",US,2021,98.0,USD,107.82,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.715
PepsiCo,"Poinciana, Florida",US,2021,180.0,USD,198.04,,32981,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.79
Performance Food Group,"Hanover Cty, Virginia",US,2021,80.0,USD,88.02,,30193,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.79
Performance Food Group - The Pureland Group,"Swedesboro, New Jersey",US,2021,,,,,6225,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Performance Food Group - Vistar,"Reno, Nevada",US,2021,,,,,30101,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Pilgrim's Pride,"Carnesville, Georgia",US,2021,70.0,USD,77.02,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.715
Pilgrim's Pride,"Cold Spring, Minnesota",US,2021,75.0,USD,82.52,,4645,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.79
Planterra Foods,"Denver, Colorado",US,2021,,,,,17559,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Plenty,"Compton, California",US,2021,,,,,8083,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2020,0.64
Plenty Foods,"Compton, California",US,2021,,,,,8826,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Porter Road Butcher,"Princeton, Kentucky",US,2021,,,,,2601,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Premium Peanut,"Orangeburg Cty, South Carolina",US,2021,64.0,USD,70.42,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.715
Prestage Farms,"Camden, South Carolina",US,2021,150.0,USD,165.04,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.715
"Pretzels, Inc.","Lawrence, Kansas",US,2021,,,,,13935,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Prime Beverage Group LLC,"Kannapolis, North Carolina",US,2021,,,,,27871,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Proliant,"St Johns, Michigan",US,2021,,,,,6596,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2020,0.64
Pulmuone,"Fullerton, California",US,2021,,,,,9290,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Puris,"Dawson, Minnesota",US,2021,100.0,USD,110.02,,18581,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.79
Quality Sausage QOZ,"Dallas, Texas",US,2021,,,,,10312,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2020,0.64
Quality Sausage QOZ LLC,"Dallas, Texas",US,2021,,,,,10405,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Red Bull,"Concord, North Carolina",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.565
Red Bull,"Glendale, Arizona",US,2021,700.0,USD,770.16,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.715
Republic National Distributing,"Louisville, Kentucky",US,2021,50.0,USD,55.01,,26849,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.79
Request Foods Inc.,"Holland, Michigan",US,2021,81.0,USD,89.12,,27871,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.79
